enrollment_id,student_id,course_id,term_id,numeric_grade,course_gpa
233,47,68,1,84.7,3
234,47,74,1,70.2,2
235,47,24,1,98.2,4
236,48,91,1,73.0,2
237,48,95,1,85.1,3
238,48,5,1,56.7,0
239,48,81,1,64.3,1
240,48,4,1,75.5,2
241,49,103,1,68.3,1
242,49,34,1,77.4,2
243,49,31,1,66.0,1
244,49,6,1,70.9,2
245,49,72,1,79.7,2
246,50,114,1,75.4,2
247,50,28,1,71.4,2
248,50,44,1,93.6,4
249,50,104,1,74.3,2
250,50,34,1,73.2,2
251,51,112,1,75.1,2
252,51,6,1,82.7,3
253,51,67,1,73.9,2
254,51,3,1,87.0,3
255,51,111,1,77.7,2
256,52,54,1,66.4,1
257,52,32,1,76.2,2
258,52,88,1,73.6,2
259,52,106,1,60.2,1
260,52,30,1,63.3,1
261,53,96,1,72.7,2
262,53,118,1,74.8,2
263,53,8,1,76.7,2
264,53,108,1,85.1,3
265,53,54,1,79.1,2
266,54,89,1,57.8,0
267,54,48,1,58.7,0
268,54,20,1,78.6,2
269,54,64,1,77.8,2
270,54,34,1,60.2,1
271,55,51,1,85.1,3
272,55,91,1,67.1,1
273,55,105,1,62.4,1
274,55,90,1,85.7,3
275,55,26,1,69.8,1
276,56,80,1,80.7,3
277,56,52,1,69.3,1
278,56,77,1,71.2,2
279,56,63,1,85.8,3
280,56,67,1,73.5,2
281,57,33,1,78.0,2
282,57,13,1,79.9,2
283,57,1,1,67.6,1
284,57,68,1,84.1,3
285,57,109,1,79.4,2
286,58,20,1,72.3,2
287,58,52,1,65.7,1
288,58,86,1,80.8,3
289,58,37,1,77.1,2
290,58,71,1,68.9,1
291,59,56,1,75.4,2
292,59,55,1,73.3,2
293,59,107,1,83.1,3
294,59,18,1,74.5,2
295,59,33,1,66.1,1
296,60,39,1,81.8,3
297,60,98,1,75.3,2
298,60,68,1,71.0,2
299,60,37,1,77.7,2
300,60,33,1,66.0,1
301,61,108,1,79.0,2
302,61,52,1,75.2,2
303,61,77,1,65.6,1
304,61,76,1,72.7,2
305,61,83,1,73.5,2
306,62,85,1,81.1,3
307,62,35,1,70.7,2
308,62,15,1,93.0,4
309,62,119,1,71.9,2
310,62,4,1,79.7,2
311,63,5,1,79.9,2
312,63,103,1,88.5,3
313,63,20,1,71.1,2
314,63,114,1,82.4,3
315,63,22,1,66.8,1
316,64,17,1,71.3,2
317,64,51,1,94.8,4
318,64,64,1,76.9,2
319,64,99,1,62.3,1
320,64,13,1,81.0,3
321,65,61,1,79.6,2
322,65,104,1,75.4,2
323,65,108,1,64.2,1
324,65,54,1,77.4,2
325,65,35,1,84.7,3
326,66,30,1,72.1,2
327,66,85,1,84.2,3
328,66,13,1,59.3,0
329,66,102,1,69.0,1
330,66,79,1,60.8,1
331,67,16,1,79.8,2
332,67,58,1,78.5,2
333,67,39,1,86.0,3
334,67,43,1,69.0,1
335,67,50,1,83.8,3
336,68,1,1,79.8,2
337,68,35,1,85.2,3
338,68,87,1,71.0,2
339,68,12,1,66.2,1
340,68,86,1,64.8,1
341,69,102,1,76.9,2
342,69,92,1,71.8,2
343,69,39,1,79.7,2
344,69,117,1,89.5,3
345,69,48,1,79.2,2
346,70,16,1,79.2,2
347,70,83,1,68.7,1
348,70,11,1,83.5,3
349,70,55,1,81.1,3
350,70,67,1,72.4,2
351,71,77,1,71.2,2
352,71,66,1,91.3,4
353,71,57,1,76.8,2
354,71,110,1,57.1,0
355,71,33,1,77.2,2
356,72,10,1,71.4,2
357,72,85,1,73.2,2
358,72,87,1,90.7,4
359,72,97,1,70.3,2
360,72,101,1,72.7,2
361,73,120,1,68.1,1
362,73,118,1,70.7,2
363,73,114,1,77.0,2
364,73,6,1,84.7,3
365,73,84,1,74.3,2
366,74,39,1,85.9,3
367,74,111,1,77.6,2
368,74,59,1,74.3,2
369,74,55,1,59.7,0
370,74,23,1,76.1,2
371,75,47,1,63.4,1
372,75,89,1,67.2,1
373,75,26,1,71.4,2
374,75,14,1,77.0,2
375,75,62,1,65.6,1
376,76,82,1,64.5,1
377,76,29,1,96.1,4
378,76,111,1,66.2,1
379,76,7,1,79.1,2
380,76,109,1,56.1,0
381,77,94,1,86.4,3
382,77,106,1,81.0,3
383,77,83,1,88.7,3
384,77,89,1,71.1,2
385,77,107,1,67.3,1
386,78,66,1,88.6,3
387,78,88,1,78.9,2
388,78,68,1,78.9,2
389,78,15,1,77.2,2
390,78,59,1,76.2,2
391,79,5,1,69.1,1
392,79,42,1,79.8,2
393,79,106,1,86.8,3
394,79,119,1,63.7,1
395,79,52,1,81.8,3
396,80,44,1,77.1,2
397,80,64,1,87.0,3
398,80,78,1,91.1,4
399,80,43,1,84.5,3
400,80,57,1,80.5,3
401,81,35,1,100.0,4
402,81,109,1,85.5,3
403,81,103,1,84.0,3
404,81,119,1,70.9,2
405,81,49,1,67.5,1
406,82,9,1,66.5,1
407,82,55,1,66.8,1
408,82,27,1,77.0,2
409,82,86,1,73.4,2
410,82,106,1,66.1,1
411,83,99,1,79.3,2
412,83,68,1,76.0,2
413,83,41,1,65.1,1
414,83,98,1,88.4,3
415,83,17,1,72.1,2
416,84,38,1,83.4,3
417,84,20,1,80.9,3
418,84,29,1,77.7,2
419,84,44,1,58.9,0
420,84,62,1,74.9,2
421,85,64,1,75.5,2
422,85,28,1,71.5,2
423,85,107,1,66.1,1
424,85,34,1,68.0,1
425,85,31,1,78.6,2
426,86,63,1,68.8,1
427,86,38,1,75.7,2
428,86,17,1,80.7,3
429,86,53,1,78.6,2
430,86,102,1,83.5,3
431,87,74,1,66.7,1
432,87,67,1,66.9,1
433,87,94,1,53.3,0
434,87,21,1,85.8,3
435,87,44,1,79.4,2
436,88,54,1,71.4,2
437,88,49,1,85.5,3
438,88,115,1,76.5,2
439,88,80,1,63.9,1
440,88,17,1,82.2,3
441,89,91,1,79.1,2
442,89,41,1,59.2,0
443,89,2,1,76.2,2
444,89,51,1,92.3,4
445,89,10,1,79.8,2
446,90,36,1,77.3,2
447,90,84,1,83.5,3
448,90,53,1,82.2,3
449,90,60,1,66.9,1
450,90,57,1,89.7,3
451,91,81,1,86.3,3
452,91,19,1,82.1,3
453,91,61,1,67.8,1
454,91,51,1,67.5,1
455,91,116,1,78.2,2
456,92,118,1,77.7,2
457,92,102,1,81.6,3
458,92,52,1,66.3,1
459,92,101,1,65.8,1
460,92,41,1,67.1,1
461,93,17,1,61.1,1
462,93,26,1,73.2,2
463,93,11,1,74.3,2
464,93,90,1,68.3,1
465,93,33,1,84.3,3
466,94,37,1,67.5,1
467,94,93,1,75.6,2
468,94,86,1,86.2,3
469,94,50,1,100.0,4
470,94,70,1,71.8,2
471,95,111,1,64.9,1
472,95,47,1,86.6,3
473,95,29,1,73.4,2
474,95,15,1,45.6,0
475,95,61,1,61.0,1
476,96,50,1,72.6,2
477,96,77,1,65.8,1
478,96,98,1,60.6,1
479,96,60,1,64.4,1
480,96,88,1,66.8,1
481,97,51,1,72.0,2
482,97,24,1,82.4,3
483,97,32,1,82.9,3
484,97,74,1,81.4,3
485,97,29,1,54.1,0
486,98,75,1,74.0,2
487,98,36,1,77.5,2
488,98,26,1,78.1,2
489,98,115,1,76.2,2
490,98,111,1,88.6,3
491,99,54,1,87.4,3
492,99,45,1,71.3,2
493,99,55,1,79.5,2
494,99,86,1,72.2,2
495,99,29,1,70.0,2
496,100,49,1,83.0,3
497,100,64,1,64.7,1
498,100,65,1,78.9,2
499,100,18,1,75.5,2
500,100,97,1,73.2,2
501,101,52,1,75.2,2
502,101,14,1,60.0,1
503,101,24,1,74.5,2
504,101,54,1,70.5,2
505,101,67,1,73.9,2
506,102,50,1,69.0,1
507,102,111,1,68.5,1
508,102,25,1,63.4,1
509,102,119,1,85.6,3
510,102,21,1,59.7,0
511,103,69,1,84.1,3
512,103,4,1,65.7,1
513,103,59,1,86.1,3
514,103,57,1,71.2,2
515,103,48,1,65.4,1
516,104,25,1,72.5,2
517,104,11,1,74.5,2
518,104,61,1,94.0,4
519,104,55,1,85.4,3
520,104,74,1,79.5,2
521,105,114,1,88.3,3
522,105,90,1,73.8,2
523,105,87,1,73.4,2
524,105,29,1,83.6,3
525,105,71,1,82.9,3
526,106,73,1,85.7,3
527,106,85,1,70.5,2
528,106,107,1,77.1,2
529,106,46,1,69.3,1
530,106,67,1,79.1,2
531,107,3,1,91.0,4
532,107,34,1,77.8,2
533,107,6,1,80.4,3
534,107,80,1,83.0,3
535,107,86,1,73.9,2
536,108,60,1,64.8,1
537,108,85,1,76.6,2
538,108,32,1,67.8,1
539,108,116,1,86.5,3
540,108,75,1,79.1,2
541,109,26,1,71.2,2
542,109,84,1,67.7,1
543,109,42,1,61.0,1
544,109,45,1,71.0,2
545,109,70,1,64.8,1
546,110,30,1,64.7,1
547,110,29,1,89.3,3
548,110,103,1,75.8,2
549,110,58,1,77.7,2
550,110,69,1,81.7,3
551,111,28,1,75.3,2
552,111,76,1,81.3,3
553,111,63,1,68.3,1
554,111,111,1,75.4,2
555,111,20,1,69.5,1
556,112,98,1,83.2,3
557,112,15,1,80.8,3
558,112,101,1,75.4,2
559,112,74,1,93.2,4
560,112,120,1,75.9,2
561,113,86,1,54.9,0
562,113,65,1,81.2,3
563,113,101,1,72.0,2
564,113,28,1,78.7,2
565,113,81,1,62.0,1
566,114,18,1,65.1,1
567,114,116,1,85.6,3
568,114,53,1,87.4,3
569,114,98,1,75.0,2
570,114,26,1,80.3,3
571,115,63,1,59.1,0
572,115,72,1,75.3,2
573,115,94,1,79.5,2
574,115,81,1,71.5,2
575,115,80,1,58.8,0
576,116,44,1,85.9,3
577,116,120,1,68.6,1
578,116,58,1,79.0,2
579,116,80,1,77.6,2
580,116,37,1,92.7,4
581,117,37,1,73.4,2
582,117,67,1,77.6,2
583,117,97,1,68.4,1
584,117,8,1,68.3,1
585,117,27,1,71.6,2
586,118,82,1,57.5,0
587,118,104,1,54.9,0
588,118,113,1,73.4,2
589,118,52,1,77.7,2
590,118,72,1,67.4,1
591,119,51,1,79.3,2
592,119,29,1,69.6,1
593,119,48,1,65.0,1
594,119,64,1,77.9,2
595,119,74,1,72.1,2
596,120,52,1,80.6,3
597,120,119,1,67.9,1
598,120,34,1,66.4,1
599,120,112,1,73.7,2
600,120,115,1,85.2,3
601,121,7,1,83.2,3
602,121,58,1,66.7,1
603,121,35,1,70.7,2
604,121,9,1,88.7,3
605,121,44,1,74.6,2
606,122,118,1,82.6,3
607,122,21,1,90.9,4
608,122,81,1,83.9,3
609,122,85,1,83.7,3
610,122,27,1,81.4,3
611,123,17,1,76.9,2
612,123,47,1,84.1,3
613,123,62,1,76.5,2
614,123,96,1,74.8,2
615,123,90,1,58.1,0
616,124,83,1,81.8,3
617,124,102,1,75.7,2
618,124,30,1,76.2,2
619,124,99,1,74.8,2
620,124,68,1,64.5,1
621,125,14,1,75.1,2
622,125,99,1,73.2,2
623,125,76,1,80.0,3
624,125,3,1,87.4,3
625,125,93,1,64.0,1
626,126,113,1,75.8,2
627,126,111,1,83.6,3
628,126,59,1,84.8,3
629,126,17,1,77.7,2
630,126,20,1,76.5,2
631,127,43,1,71.0,2
632,127,91,1,63.7,1
633,127,100,1,66.2,1
634,127,21,1,54.1,0
635,127,26,1,77.9,2
636,128,25,1,62.9,1
637,128,90,1,74.3,2
638,128,115,1,80.2,3
639,128,67,1,60.1,1
640,128,30,1,67.2,1
641,129,113,1,63.1,1
642,129,119,1,99.2,4
643,129,25,1,70.5,2
644,129,15,1,81.1,3
645,129,8,1,71.5,2
646,130,116,1,64.0,1
647,130,56,1,84.7,3
648,130,79,1,65.8,1
649,130,60,1,81.9,3
650,130,73,1,72.7,2
651,131,1,1,66.4,1
652,131,97,1,59.4,0
653,131,66,1,60.4,1
654,131,46,1,79.1,2
655,131,102,1,61.7,1
656,132,101,1,67.2,1
657,132,75,1,62.6,1
658,132,57,1,69.4,1
659,132,34,1,78.5,2
660,132,63,1,80.9,3
661,133,51,1,66.9,1
662,133,119,1,81.4,3
663,133,76,1,83.1,3
664,133,46,1,83.4,3
665,133,44,1,69.4,1
666,134,93,1,89.4,3
667,134,24,1,94.6,4
668,134,92,1,72.9,2
669,134,26,1,87.6,3
670,134,21,1,74.3,2
671,135,90,1,77.4,2
672,135,7,1,53.3,0
673,135,116,1,84.8,3
674,135,14,1,57.3,0
675,135,60,1,77.0,2
676,136,47,1,88.0,3
677,136,85,1,93.1,4
678,136,109,1,60.5,1
679,136,57,1,75.6,2
680,136,53,1,76.6,2
681,137,69,1,62.1,1
682,137,17,1,88.0,3
683,137,116,1,75.0,2
684,137,44,1,75.4,2
685,137,47,1,84.6,3
686,138,31,1,73.4,2
687,138,76,1,79.0,2
688,138,19,1,73.4,2
689,138,114,1,65.8,1
690,138,30,1,61.2,1
691,139,63,1,75.1,2
692,139,55,1,59.3,0
693,139,47,1,73.6,2
694,139,107,1,69.1,1
695,139,25,1,82.1,3
696,140,4,1,68.8,1
697,140,75,1,59.3,0
698,140,39,1,72.0,2
699,140,82,1,65.2,1
700,140,62,1,57.6,0
701,141,66,1,67.3,1
702,141,24,1,66.3,1
703,141,71,1,84.0,3
704,141,67,1,65.5,1
705,141,1,1,72.4,2
706,142,103,1,72.0,2
707,142,48,1,63.5,1
708,142,19,1,66.6,1
709,142,30,1,74.6,2
710,142,85,1,70.4,2
711,143,108,1,67.4,1
712,143,52,1,90.1,4
713,143,100,1,85.3,3
714,143,65,1,76.4,2
715,143,82,1,83.6,3
716,144,84,1,80.7,3
717,144,33,1,75.2,2
718,144,89,1,68.1,1
719,144,120,1,64.4,1
720,144,17,1,58.2,0
721,145,50,1,59.3,0
722,145,101,1,72.2,2
723,145,74,1,80.0,3
724,145,115,1,73.7,2
725,145,119,1,66.0,1
726,146,60,1,67.6,1
727,146,1,1,80.3,3
728,146,96,1,72.0,2
729,146,112,1,55.0,0
730,146,45,1,67.4,1
731,147,5,1,75.1,2
732,147,15,1,72.0,2
733,147,62,1,71.0,2
734,147,45,1,55.9,0
735,147,107,1,66.8,1
736,148,53,1,89.1,3
737,148,5,1,82.8,3
738,148,66,1,75.5,2
739,148,19,1,79.2,2
740,148,109,1,61.2,1
741,149,105,1,75.1,2
742,149,9,1,87.4,3
743,149,78,1,86.0,3
744,149,19,1,74.8,2
745,149,8,1,88.8,3
746,150,24,1,70.4,2
747,150,97,1,89.3,3
748,150,56,1,94.3,4
749,150,113,1,82.8,3
750,150,103,1,69.9,1
751,151,49,1,57.4,0
752,151,108,1,83.3,3
753,151,8,1,79.3,2
754,151,56,1,68.2,1
755,151,96,1,80.4,3
756,152,90,1,73.5,2
757,152,9,1,68.5,1
758,152,96,1,79.6,2
759,152,42,1,80.8,3
760,152,91,1,79.6,2
761,153,51,1,66.7,1
762,153,66,1,77.7,2
763,153,21,1,79.3,2
764,153,1,1,86.2,3
765,153,49,1,69.6,1
766,154,21,1,86.7,3
767,154,14,1,84.1,3
768,154,74,1,73.4,2
769,154,84,1,61.6,1
770,154,101,1,61.2,1
771,155,18,1,75.1,2
772,155,69,1,78.6,2
773,155,45,1,60.5,1
774,155,70,1,73.0,2
775,155,23,1,70.7,2
776,156,10,1,88.3,3
777,156,52,1,72.8,2
778,156,26,1,67.6,1
779,156,32,1,91.2,4
780,156,70,1,68.4,1
781,157,106,1,64.0,1
782,157,74,1,91.0,4
783,157,111,1,76.1,2
784,157,109,1,76.5,2
785,157,99,1,68.0,1
786,158,55,1,80.5,3
787,158,39,1,79.8,2
788,158,76,1,80.0,3
789,158,87,1,50.5,0
790,158,94,1,79.3,2
791,159,30,1,65.4,1
792,159,25,1,79.4,2
793,159,118,1,91.4,4
794,159,37,1,79.6,2
795,159,115,1,85.8,3
796,160,21,1,80.8,3
797,160,61,1,74.3,2
798,160,24,1,75.0,2
799,160,91,1,52.4,0
800,160,111,1,57.1,0
801,161,10,1,67.4,1
802,161,57,1,77.2,2
803,161,34,1,81.7,3
804,161,20,1,64.6,1
805,161,1,1,81.7,3
806,162,79,1,69.2,1
807,162,40,1,74.8,2
808,162,33,1,58.7,0
809,162,1,1,60.0,1
810,162,15,1,72.6,2
811,163,63,1,79.3,2
812,163,92,1,80.5,3
813,163,65,1,77.5,2
814,163,8,1,83.4,3
815,163,44,1,89.5,3
816,164,16,1,87.6,3
817,164,64,1,67.5,1
818,164,13,1,81.9,3
819,164,114,1,83.5,3
820,164,49,1,93.3,4
821,165,61,1,77.7,2
822,165,117,1,56.6,0
823,165,112,1,71.6,2
824,165,55,1,68.3,1
825,165,19,1,71.7,2
826,166,108,1,70.1,2
827,166,90,1,58.1,0
828,166,45,1,57.8,0
829,166,88,1,56.8,0
830,166,111,1,77.8,2
831,167,19,1,75.3,2
832,167,69,1,66.8,1
833,167,110,1,61.8,1
834,167,36,1,75.9,2
835,167,3,1,72.2,2
836,168,71,1,83.5,3
837,168,39,1,84.2,3
838,168,19,1,69.2,1
839,168,54,1,77.4,2
840,168,73,1,77.4,2
841,169,113,1,72.3,2
842,169,75,1,72.9,2
843,169,16,1,64.7,1
844,169,109,1,92.1,4
845,169,37,1,68.2,1
846,170,110,1,80.2,3
847,170,114,1,77.8,2
848,170,18,1,85.5,3
849,170,37,1,68.9,1
850,170,94,1,77.3,2
851,171,34,1,89.1,3
852,171,74,1,65.3,1
853,171,103,1,80.5,3
854,171,106,1,77.8,2
855,171,6,1,85.0,3
856,172,83,1,73.5,2
857,172,112,1,81.0,3
858,172,91,1,71.5,2
859,172,108,1,68.0,1
860,172,3,1,72.3,2
861,173,110,1,73.7,2
862,173,38,1,79.0,2
863,173,118,1,79.8,2
864,173,14,1,75.0,2
865,173,37,1,100.0,4
866,174,43,1,74.5,2
867,174,68,1,73.9,2
868,174,97,1,73.0,2
869,174,92,1,61.8,1
870,174,87,1,77.7,2
871,175,9,1,75.9,2
872,175,44,1,90.5,4
873,175,106,1,65.5,1
874,175,1,1,78.0,2
875,175,65,1,68.7,1
876,176,46,1,90.2,4
877,176,69,1,76.6,2
878,176,3,1,68.8,1
879,176,22,1,80.6,3
880,176,85,1,65.8,1
881,177,33,1,67.0,1
882,177,5,1,78.1,2
883,177,118,1,97.9,4
884,177,101,1,80.8,3
885,177,42,1,89.2,3
886,178,77,1,87.9,3
887,178,113,1,71.1,2
888,178,109,1,64.5,1
889,178,38,1,91.7,4
890,178,69,1,74.0,2
891,179,90,1,79.1,2
892,179,86,1,73.3,2
893,179,25,1,68.6,1
894,179,85,1,50.9,0
895,179,44,1,70.7,2
896,180,87,1,73.4,2
897,180,27,1,79.0,2
898,180,71,1,63.9,1
899,180,92,1,71.6,2
900,180,103,1,80.0,3
901,181,22,1,88.5,3
902,181,32,1,64.6,1
903,181,31,1,79.4,2
904,181,104,1,71.2,2
905,181,118,1,71.5,2
906,182,74,1,81.5,3
907,182,4,1,86.5,3
908,182,110,1,86.8,3
909,182,62,1,93.2,4
910,182,91,1,75.7,2
911,183,4,1,76.8,2
912,183,74,1,81.9,3
913,183,40,1,84.6,3
914,183,86,1,90.1,4
915,183,6,1,76.9,2
916,184,117,1,60.8,1
917,184,114,1,74.1,2
918,184,82,1,88.4,3
919,184,27,1,84.1,3
920,184,81,1,82.4,3
921,185,77,1,72.6,2
922,185,42,1,70.4,2
923,185,2,1,76.7,2
924,185,68,1,70.4,2
925,185,71,1,79.8,2
926,186,84,1,86.6,3
927,186,100,1,64.5,1
928,186,41,1,83.9,3
929,186,18,1,64.5,1
930,186,79,1,86.4,3
931,187,86,1,66.3,1
932,187,108,1,78.7,2
933,187,119,1,67.3,1
934,187,7,1,83.0,3
935,187,10,1,74.0,2
936,188,35,1,75.4,2
937,188,57,1,67.5,1
938,188,2,1,84.9,3
939,188,49,1,93.1,4
940,188,92,1,95.0,4
941,189,44,1,85.3,3
942,189,1,1,77.2,2
943,189,111,1,75.4,2
944,189,67,1,78.3,2
945,189,81,1,78.1,2
946,190,68,1,79.0,2
947,190,77,1,84.1,3
948,190,31,1,93.8,4
949,190,104,1,68.2,1
950,190,119,1,78.8,2
951,191,70,1,72.3,2
952,191,26,1,83.7,3
953,191,90,1,64.4,1
954,191,47,1,82.9,3
955,191,41,1,81.5,3
956,192,107,1,77.1,2
957,192,19,1,81.2,3
958,192,39,1,87.8,3
959,192,111,1,78.7,2
960,192,103,1,74.9,2
961,193,29,1,82.5,3
962,193,106,1,75.6,2
963,193,113,1,77.5,2
964,193,1,1,65.6,1
965,193,107,1,82.1,3
966,194,118,1,76.2,2
967,194,29,1,68.2,1
968,194,23,1,59.8,0
969,194,36,1,71.6,2
970,194,51,1,60.5,1
971,195,72,1,66.4,1
972,195,9,1,83.4,3
973,195,5,1,80.9,3
974,195,70,1,58.0,0
975,195,67,1,71.7,2
976,196,14,1,76.6,2
977,196,72,1,78.3,2
978,196,77,1,86.5,3
979,196,24,1,86.2,3
980,196,118,1,66.4,1
981,197,13,1,66.8,1
982,197,112,1,63.6,1
983,197,25,1,65.5,1
984,197,70,1,65.6,1
985,197,56,1,75.8,2
986,198,118,1,76.3,2
987,198,108,1,66.9,1
988,198,3,1,64.1,1
989,198,43,1,55.5,0
990,198,93,1,60.1,1
991,199,39,1,91.7,4
992,199,100,1,83.6,3
993,199,84,1,67.7,1
994,199,63,1,81.8,3
995,199,6,1,70.1,2
