student_id,household_income_usd,scholarship_flag,aid_amount_usd,work_hours_per_week,outstanding_balance_usd
113,22091,0,7450,18,1626
114,49737,0,3413,28,214
115,30321,0,6761,20,1148
116,24695,0,9491,12,787
117,19814,1,18617,10,1293
118,29444,0,4110,9,643
119,41280,0,7538,6,1639
120,32811,0,7354,15,683
121,50543,0,0,9,1068
122,26068,0,5639,1,0
123,23129,0,3225,18,1280
124,37514,1,8391,7,2079
125,31313,0,14014,0,656
126,72434,0,10623,21,0
127,24150,0,8695,21,0
128,21996,0,15799,3,0
129,26869,1,15639,8,0
130,23204,1,6788,6,8
131,20371,1,2692,7,0
132,11167,1,713,0,870
133,14881,0,4481,9,0
134,27664,0,5730,9,1191
135,13568,1,16189,25,1493
136,41722,0,12808,13,906
137,37123,0,11677,8,1271
138,19892,1,7987,14,95
139,28805,0,7245,1,0
140,26503,0,6368,13,0
141,10068,0,16818,7,250
142,38831,1,7495,13,612
143,20775,1,6825,16,520
144,16567,0,10260,8,795
145,44664,1,6149,14,1330
146,34404,0,10231,6,1866
147,51367,0,9157,4,1076
148,27702,0,5034,19,879
149,33833,0,6624,20,270
150,48026,0,4618,14,0
151,81292,0,12056,18,127
152,24664,0,7410,0,406
153,34505,0,7144,19,0
154,41946,0,11238,23,82
155,41746,0,10701,17,1559
156,21853,0,8937,11,551
157,27800,0,12176,1,882
158,41700,0,7378,16,1668
159,33045,0,4430,16,682
160,93787,0,8593,21,647
161,24694,0,7857,9,993
162,18401,0,13746,7,2831
163,39764,1,8946,6,608
164,16932,0,14360,5,505
165,22582,0,3141,16,1049
166,31207,0,7056,12,1144
167,29150,1,8738,16,487
168,28674,1,8715,13,635
169,21203,0,12550,9,499
170,37118,0,6146,5,1207
171,109486,0,11967,23,0
172,48907,0,7659,14,1680
173,10000,0,7609,21,722
174,23286,1,4643,16,0
175,40912,1,15018,9,0
176,12119,0,14134,9,534
177,10000,0,3001,6,0
178,19247,0,14464,22,1778
179,18303,0,2226,23,2374
180,79543,0,7326,10,0
181,36801,0,7595,17,0
182,27262,0,6792,9,159
183,24599,0,12355,0,616
184,38964,0,10990,7,786
185,33484,0,1203,18,0
186,38920,0,13889,20,1675
187,36095,0,14695,12,1165
188,55464,0,10715,7,1560
189,30324,1,8603,3,600
190,47440,0,8879,9,1740
191,36831,0,6862,10,512
192,33573,0,11911,10,0
193,23394,0,831,3,1502
194,28587,0,9602,15,0
195,28890,0,12619,13,283
196,56798,1,9019,10,0
197,34248,0,10208,12,1713
198,17288,0,972,16,224
199,11755,0,4186,16,838
200,15022,0,9587,22,1473
201,19666,1,11805,22,78
202,39204,0,5676,16,924
203,20508,0,9221,11,340
204,62063,0,7774,7,773
205,14243,0,652,19,610
206,44256,0,7071,3,1398
207,10000,0,10897,13,507
208,15209,0,13307,5,589
209,16383,0,7037,20,2067
210,16262,0,9545,18,0
211,20282,0,8690,12,1152
212,47668,1,12139,35,2090
213,45733,0,5408,6,507
214,16250,0,7713,16,0
215,26431,0,10178,16,110
216,39051,0,9611,14,388
217,26609,0,10427,10,1799
218,76595,1,13188,13,0
219,37392,0,8639,26,939
220,17713,1,11187,12,0
221,18802,0,5733,17,182
222,16647,1,13443,0,1544
223,19544,0,3682,11,1083
224,30119,0,10477,30,913
225,25815,0,8527,8,1406
226,22432,0,5136,8,597
227,42154,1,7309,26,727
228,36525,0,8859,7,508
229,11525,0,7004,6,956
230,13844,1,8282,18,920
231,16471,0,9679,31,1893
232,18312,1,3292,19,0
233,20263,0,8369,13,496
234,23342,0,6505,23,436
235,36822,1,5085,10,1656
236,15148,0,6649,8,0
237,18794,0,2749,24,355
238,11495,0,12728,23,627
239,17107,0,10883,9,973
240,26247,0,11310,20,460
241,17357,0,10046,22,160
242,16009,0,0,11,65
243,21862,0,3290,13,0
244,34256,1,13575,3,0
245,17140,0,15889,12,308
246,54891,0,9502,7,10
247,17894,0,13559,10,2179
248,23159,1,6745,1,955
249,59559,0,5505,23,0
250,41967,1,12678,21,948
251,27354,0,4799,22,0
252,37155,1,3537,12,1611
253,13901,0,10998,10,224
254,87891,0,5125,14,1479
255,14344,0,253,15,653
256,33694,0,12642,24,819
257,58327,0,10020,13,698
258,34815,0,10791,13,0
259,28829,0,11037,18,1025
260,58414,0,11882,0,0
261,43141,0,10013,24,614
262,22200,0,2047,18,1041
263,75016,0,3655,16,1731
264,19022,0,12027,17,1475
265,78849,0,10297,19,0
266,42444,0,7477,33,0
267,23480,0,1263,9,714
268,16112,1,6641,21,1052
269,32727,0,6780,16,1172
270,20526,0,4980,6,1312
271,31721,0,3811,21,185
272,47010,0,9334,15,702
273,50533,1,15874,15,0
274,68406,0,10564,14,1636
275,16074,0,6102,16,1541
276,34366,0,7734,19,517
277,12728,0,10461,9,8
278,29803,0,5613,12,0
279,11703,0,8855,21,790
280,105988,0,6576,5,0
281,64657,0,6487,21,1151
282,11789,0,1650,12,654
283,20402,0,8178,21,380
284,45888,0,9635,17,1229
285,34217,0,11374,9,0
286,30077,0,1030,9,953
287,34576,0,11812,7,582
288,49606,0,10909,3,420
289,99308,0,13890,13,1169
290,15069,1,8544,14,1661
291,26295,0,8275,17,771
292,10104,0,3898,10,992
293,28829,0,7752,17,256
294,79610,0,6737,21,70
295,39502,1,10608,28,816
296,47243,0,7828,5,325
297,33153,0,11246,23,313
298,19326,0,7185,16,1811
299,11838,0,13092,15,1639
300,71014,0,0,10,0
301,22732,0,13172,22,1365
302,26665,0,2485,15,1196
303,10000,0,11289,3,759
304,20173,0,10702,0,1471
305,32181,0,3709,13,1844
306,36495,0,12894,17,1215
307,78049,1,5259,8,307
308,25556,0,2720,10,257
309,27889,0,6207,21,182
310,74091,0,6400,10,902
311,60121,1,7577,17,1597
312,12776,0,8280,9,0
313,70904,0,9481,22,1321
314,11351,1,9679,15,1746
315,39433,0,3347,14,0
316,46696,0,4590,24,293
317,33268,1,18431,1,0
318,23734,0,3799,18,943
319,22730,0,3950,1,0
320,10000,1,3792,14,0
321,32560,0,11881,14,1635
322,30318,1,13841,16,0
323,73363,0,9588,0,839
324,25254,1,15147,15,571
325,21677,1,7108,23,172
326,21859,0,3382,8,518
327,17969,0,9104,8,441
328,22629,0,9892,9,1479
329,16023,1,10762,20,1407
330,42965,0,6763,7,932
331,37773,1,14112,10,1778
332,12426,1,9826,20,1134
333,31467,0,9012,7,1
334,58013,0,7885,21,106
335,56083,0,6031,9,2236
336,15935,0,3748,12,1255
337,66141,1,11686,20,737
338,21640,0,0,20,759
339,30118,1,7462,10,653
340,24075,0,5999,6,2491
341,14444,0,3147,24,0
342,18622,0,6831,11,1295
343,62755,1,11786,16,1584
344,63789,0,8514,19,56
345,44734,0,5702,7,0
346,25973,0,10474,2,0
347,87618,0,9054,18,0
348,53796,0,3420,2,1255
349,27716,0,4895,5,510
350,10000,0,2353,18,1116
351,49849,0,6603,16,1265
352,62624,0,5325,16,590
353,38453,0,7084,9,0
354,10000,0,15737,23,1099
355,33488,0,1458,5,0
356,109715,0,413,0,1577
357,27115,0,13981,0,0
358,96590,0,10108,13,0
359,45310,1,13904,12,285
360,30588,0,6620,18,0
361,68992,0,10754,17,0
362,20643,0,7496,12,682
363,14160,1,13467,1,217
364,14337,0,12070,8,190
365,33677,0,11694,8,412
366,38852,0,5382,25,0
367,19745,0,8369,11,1142
368,61805,1,6166,20,0
369,31351,1,12212,14,978
370,48906,0,9357,11,458
371,19753,0,1628,8,461
372,26657,0,9836,16,280
373,10309,1,11744,4,1297
374,25118,0,10270,12,1499
375,34042,1,10185,13,1425
376,21241,0,10259,14,423
377,28670,1,11257,5,613
378,34318,0,4437,9,0
379,21570,0,10524,15,193
380,25370,0,4189,14,0
381,19175,1,5727,22,124
382,16903,0,8845,10,836
383,62174,0,0,3,524
384,12606,1,7330,8,163
385,49629,1,8747,4,1348
386,13113,1,15298,25,0
387,73635,0,7138,18,620
388,41989,1,17704,15,2507
389,23760,0,2043,15,1807
390,52384,1,11887,11,176
391,57084,1,12597,1,1575
392,42080,0,4319,9,94
393,39512,0,7640,0,946
394,34005,0,7580,18,2021
395,69565,1,14348,13,351
396,29292,0,2232,13,1229
397,31954,0,15517,6,474
398,49879,0,401,11,150
399,24563,0,9695,17,1125
400,57527,1,6506,15,1025
401,50776,0,9908,3,0
402,163993,0,5355,6,349
403,27612,1,15384,17,0
404,42577,0,8402,10,0
405,39347,0,6322,26,467
406,48344,1,5516,4,867
407,28494,0,9552,10,1382
408,39294,0,9801,9,0
409,32442,0,6548,10,0
410,49812,1,10118,4,1770
411,10000,0,9130,0,0
412,25768,0,10565,17,0
413,106167,1,6007,24,1965
414,74942,0,6158,8,492
415,35668,0,10444,14,225
416,42418,0,7576,11,43
417,40616,1,2494,11,0
418,43407,0,14369,7,490
419,17572,0,11386,18,870
420,19945,1,3004,14,950
421,20121,0,5373,7,0
422,22769,0,14290,18,1815
423,76452,0,9822,23,467
424,14768,0,2231,21,884
425,96595,0,166,11,1219
426,37916,0,950,5,305
427,14762,0,6038,5,995
428,21123,0,10675,8,711
429,38681,1,3861,9,372
430,13693,0,10279,19,671
431,24126,0,4486,0,154
432,15030,0,568,12,0
433,43534,0,6607,8,715
434,15173,0,15895,6,727
435,12030,0,13374,16,811
436,71576,1,8004,7,1742
437,24760,0,8829,11,846
438,23487,1,7673,19,314
439,39450,0,123,10,770
440,29242,0,5564,22,2403
441,18149,0,10554,6,0
442,20611,0,3293,0,1975
443,45756,1,14283,16,935
444,16673,1,14457,14,663
445,29096,1,8196,20,372
446,80879,0,8444,15,269
447,24872,0,13208,24,0
448,62286,0,9452,14,735
449,16222,1,15837,20,1311
450,33213,0,982,19,483
451,62796,1,7673,7,244
452,21113,0,6689,8,3
453,93934,0,12975,10,658
454,28789,0,8004,29,1062
455,14801,1,7048,7,1421
456,54305,0,7555,15,0
457,76966,0,10080,13,220
458,14070,0,6738,14,1179
459,38749,0,11353,12,0
460,19857,1,10466,9,455
461,16109,0,6791,3,1207
462,17515,1,14716,5,528
463,33729,0,13755,18,652
464,64607,0,12674,16,0
465,28665,0,4774,14,170
466,38254,0,12766,26,836
467,21325,0,12006,32,1218
468,27562,0,3420,4,310
469,17661,0,6661,23,1542
470,10033,0,12978,2,620
471,21871,0,11822,9,592
472,58546,0,5899,13,1729
473,10000,0,3648,19,0
474,57572,0,13200,2,0
475,36215,0,10250,13,1305
476,27360,1,10145,13,383
477,21694,0,4793,0,967
478,39630,1,12879,16,616
479,68812,0,3857,11,977
480,34710,1,6383,17,1150
481,26206,0,9607,8,1443
482,150149,0,11958,9,943
483,31310,1,10570,30,1516
484,11125,0,6551,6,179
485,36196,0,11548,11,947
486,20889,0,3379,8,0
487,24057,1,6197,13,51
488,64028,0,12346,14,1158
489,50346,1,5272,22,1221
490,10330,0,864,8,453
491,10534,0,4051,10,1556
492,32359,0,12350,14,0
493,53292,0,11574,0,1414
494,10000,0,2146,21,457
495,53518,0,4719,0,0
496,130565,0,2048,18,0
497,60585,0,10546,40,216
498,18475,0,3107,17,0
499,43706,0,9803,18,0
500,34194,1,9173,13,1014
501,86602,1,10375,5,149
502,58756,0,1289,18,0
503,17337,1,13570,1,829
504,42289,1,16186,3,98
505,18175,0,13921,8,1690
506,55431,0,8256,16,0
507,25533,0,0,2,0
508,29038,1,8551,17,391
509,32914,1,11074,16,0
510,21361,0,8537,13,0
511,31694,0,1818,0,348
512,39157,0,10845,19,470
513,25117,0,11084,10,347
514,33915,0,11095,11,420
515,19027,0,5132,8,1079
516,14209,0,2204,0,434
517,29131,0,6045,4,791
518,54746,1,14716,20,1249
519,53685,0,4127,25,122
520,51701,0,4527,16,597
521,54498,0,3757,18,670
522,33206,0,6320,25,0
523,21398,0,9660,25,0
524,25424,1,12709,17,635
525,27649,0,2952,7,0
526,20034,1,14048,0,1890
527,42436,0,12611,13,1164
528,20594,0,6857,13,0
529,10000,0,2454,33,0
530,56116,1,15027,17,0
531,40384,0,9500,14,683
532,10560,0,15615,5,358
533,20156,0,2243,13,1164
534,28064,0,9165,22,0
535,29678,0,13871,10,979
536,105120,0,9860,2,860
537,16722,0,0,5,1608
538,16112,0,0,1,747
539,63760,0,15190,6,0
540,26637,1,7538,3,1658
541,60115,0,9909,16,384
542,25348,0,2799,17,270
543,61769,0,5724,24,696
544,25172,1,13816,12,1565
545,27585,0,9130,11,1447
546,15958,1,8200,15,1058
547,83850,0,11194,7,1310
548,18915,1,9776,3,933
549,13818,1,14005,5,0
550,78596,0,6282,17,1357
551,44149,0,9178,19,0
552,76931,0,15996,31,580
553,19381,1,10631,4,637
554,42749,0,10772,3,2335
555,68876,1,3011,0,0
556,14980,0,8587,13,1399
557,36169,0,8819,16,772
558,22654,0,3152,7,326
559,23484,1,8917,0,0
560,18167,0,6839,28,770
561,38397,1,5559,15,782
562,25783,0,5969,2,397
563,17064,0,16452,9,1915
564,69701,0,8089,30,1511
565,30665,0,9249,20,462
566,11611,0,15543,9,1486
567,19711,0,0,4,1643
568,12232,0,16616,23,76
569,20419,1,12983,1,0
570,36726,0,3074,16,0
571,43111,1,5039,16,1412
572,49369,0,11190,21,329
573,20450,0,11102,16,24
574,24013,0,9738,17,1370
575,38710,0,4210,15,350
576,49894,0,8939,14,0
577,27334,0,5422,27,1798
578,43706,1,8906,12,1446
579,21245,0,4055,19,90
580,10000,0,5289,9,0
581,51211,0,0,4,459
582,41693,0,14013,8,1127
583,28046,0,4625,10,1511
584,33022,0,13487,4,0
585,59510,1,8181,0,0
586,29582,0,5621,22,435
587,10000,0,0,7,0
588,10000,0,15622,10,380
589,66386,0,12198,7,118
590,42446,0,4214,0,0
591,58780,1,13680,25,1958
592,72537,0,12283,5,701
593,70057,0,8815,20,1298
594,12765,0,8694,4,0
595,26342,0,7949,14,9
596,17482,1,6868,20,58
597,32794,1,8392,3,1399
598,13189,0,4133,9,1963
599,30509,0,12135,7,0
600,10578,1,16638,8,729
601,24142,0,9451,18,1632
602,71328,1,7904,23,53
603,19746,0,6217,9,0
604,19622,0,9418,14,1014
605,32065,0,10236,2,0
606,33165,1,10581,32,0
607,35893,0,5121,16,0
608,18453,0,12688,19,1149
609,20727,0,8504,8,1694
610,30977,0,9844,21,606
611,53644,0,0,13,1409
612,19184,0,7129,20,0
613,26416,1,12842,5,1078
614,10000,0,3059,13,715
615,22885,0,1012,0,0
616,33555,1,14526,17,891
617,50123,1,10503,16,2034
618,18551,0,8803,0,1330
619,32959,0,9608,3,114
620,34996,1,11035,5,118
621,10145,0,0,16,937
622,13985,0,6373,0,1076
623,40193,0,7427,28,0
624,30832,0,8646,6,2028
625,31476,0,8106,36,554
626,17022,0,6279,12,1511
627,12471,1,13524,0,330
628,39627,0,6861,0,2352
629,32871,0,8739,12,891
630,10000,0,14383,1,0
631,28021,0,2246,4,0
632,86560,0,0,0,975
633,42610,0,9371,8,1820
634,17375,0,10348,24,736
635,32863,0,16709,6,0
636,26279,0,8129,16,531
637,79843,0,7295,3,906
638,15134,1,7895,20,1251
639,64842,0,12340,8,1749
640,14528,0,10036,14,1604
641,36327,1,13283,6,560
642,43786,1,11107,9,0
643,59415,0,11429,1,1357
644,47146,0,13617,25,205
645,11913,0,10383,12,1888
646,29753,0,5841,6,1126
647,40406,1,6136,10,428
648,57056,0,8621,15,2294
649,15088,0,14054,17,970
650,16925,1,10825,7,1579
651,12356,0,1361,18,5
652,29726,0,15110,12,0
653,34972,1,11845,5,0
654,36780,0,7639,9,1330
655,25349,0,7329,7,354
656,27782,0,0,27,2462
657,27912,1,6685,13,842
658,25860,0,4621,18,848
659,10000,0,10500,22,1703
660,16748,0,7154,13,441
661,41052,1,14363,20,211
662,22772,0,0,12,0
663,22015,0,17035,11,650
664,63563,0,12972,9,908
665,56681,1,11715,8,183
666,19182,0,6614,16,1729
667,72742,0,11155,3,0
668,26440,0,8355,3,1231
669,48048,1,9206,19,0
670,29122,1,12989,21,1253
671,20254,0,11473,26,710
672,48104,0,9420,9,720
673,17304,0,6088,0,1051
674,27056,0,7517,0,1232
675,29682,1,4614,23,373
676,23594,0,2390,19,894
677,13150,0,5593,16,1176
678,40295,0,11879,17,1853
679,51658,0,8471,17,1015
680,32811,0,11814,27,301
681,18837,0,13166,3,2105
682,109162,0,9450,5,1645
683,25883,0,3853,16,1397
684,25619,0,11250,18,832
685,10000,1,5462,2,563
686,14121,1,7860,19,0
687,59654,1,15423,8,1566
688,214432,1,9980,16,0
689,64312,1,11845,2,773
690,15912,0,0,0,372
691,39563,0,6731,17,1027
692,23545,0,9128,28,396
693,23981,0,8381,12,720
694,13614,1,13152,27,184
695,40607,0,5466,1,705
696,13889,0,12589,5,0
697,10000,0,6150,16,568
698,23258,1,10091,16,0
699,10000,0,4049,8,2021
700,18310,0,10214,17,0
701,42607,0,4965,8,0
702,58634,1,11053,13,300
703,43589,1,13259,15,210
704,25888,1,13693,27,1264
705,21451,0,18473,5,601
706,17053,0,8029,17,0
707,72536,0,6764,19,304
708,13971,1,7487,30,1109
709,32034,0,10458,24,0
710,42451,0,7489,17,0
711,10000,0,4623,0,328
712,10000,0,4494,16,774
713,42394,0,13025,21,567
714,12418,0,11526,3,789
715,35801,0,13292,5,494
716,17582,0,2295,27,1174
717,34911,1,8569,22,365
718,37870,1,6341,0,5
719,54338,0,8536,12,0
720,38787,0,4838,12,350
721,34020,0,13588,25,486
722,84432,0,6572,25,322
723,16543,0,15426,14,0
724,30682,0,11448,4,813
725,51342,0,11618,9,581
726,10000,0,14911,0,1067
727,74232,1,10277,0,409
728,26911,0,11372,34,0
729,38461,0,9258,10,507
730,22117,0,4846,10,2095
731,38721,0,5473,11,22
732,34865,1,9193,13,352
733,15146,0,9798,15,0
734,22836,0,11009,5,526
735,40204,0,10248,24,0
736,71855,0,10314,7,366
737,23728,0,6891,0,1483
738,13702,0,0,1,1171
739,36750,0,11053,12,488
740,24820,1,6809,19,532
741,48124,0,16623,18,1221
742,19007,0,9377,22,0
743,13141,0,13512,2,191
744,76237,0,3589,23,1728
745,22381,0,12517,16,1191
746,17268,0,10862,9,406
747,19725,0,9509,6,0
748,69300,0,3796,5,0
749,117708,0,5183,16,0
750,18512,1,12620,13,0
751,26453,1,7184,0,0
752,36065,1,6683,10,1384
753,10000,1,7978,9,0
754,21884,0,10010,21,0
755,92415,0,13686,15,1021
756,24461,1,11656,9,664
757,63466,1,14879,6,908
758,28548,0,7436,14,528
759,10000,0,16155,7,1496
760,53919,0,13324,0,1075
761,24126,1,13578,15,0
762,70197,0,9828,11,50
763,33566,1,11587,11,728
764,29846,0,2037,13,620
765,39444,0,1848,16,1402
766,37345,0,10615,2,1528
767,10504,0,8291,5,1420
768,56191,1,12248,24,492
769,29150,0,3481,21,1450
770,30221,0,14093,28,1558
771,38212,1,9192,18,726
772,51148,0,9521,18,0
773,55997,1,7987,11,0
774,44334,0,9306,0,183
775,10429,1,19532,17,245
776,28493,1,14630,11,0
777,16956,0,5724,0,283
778,33108,0,3975,17,997
779,26391,0,9419,21,784
780,100871,0,6678,6,183
781,13122,0,5291,9,988
782,29914,1,17950,15,1031
783,31821,0,87,5,949
784,22475,0,10840,11,639
785,29325,0,15771,14,845
786,107467,0,3361,18,579
787,36956,1,8332,12,348
788,73647,0,6685,16,1111
789,22427,0,14438,10,1345
790,47258,0,7882,13,0
791,18279,0,16194,15,2462
792,17620,0,11407,0,0
793,10210,0,6591,7,550
794,15684,1,5487,21,1089
795,30748,0,3956,0,813
796,75178,1,12651,15,0
797,27726,0,18278,23,769
798,34177,1,8106,21,1804
799,59124,1,7432,19,434
800,24485,1,12619,26,0
801,16553,1,9215,22,0
802,17725,0,6143,9,1489
803,58265,0,14210,18,318
804,32426,0,14115,1,575
805,32428,1,11145,20,851
806,17417,0,5393,11,0
807,66569,1,11552,21,1430
808,90075,0,12099,14,2046
809,32989,0,13388,20,273
810,51581,0,12498,13,505
811,20193,0,0,10,1162
812,63873,0,9967,14,224
813,41997,0,11083,0,1472
814,14211,0,11701,11,1011
815,38998,0,9434,8,1607
816,38880,0,8173,1,0
817,33156,1,8827,6,883
818,40340,0,4826,2,931
819,28909,0,5469,0,1168
820,26635,1,15525,7,498
821,34539,0,10859,16,0
822,24105,0,11304,0,0
823,20157,1,7728,12,164
824,57886,0,10138,14,91
825,21077,0,15363,11,262
826,26998,0,8555,19,449
827,22296,0,11166,37,0
828,17638,0,5978,25,0
829,74988,0,6444,7,232
830,12524,0,9143,4,920
831,37736,1,7219,8,82
832,27488,0,5013,16,915
833,39626,0,7325,12,1985
834,26843,0,8816,12,578
835,39954,0,5550,13,1904
836,35237,0,8687,13,1552
837,42327,0,3512,14,1027
838,84640,0,8657,20,217
839,10000,0,424,15,409
840,31218,1,14326,3,1325
841,16379,0,1786,19,652
842,19249,0,14222,21,2135
843,16793,0,9714,11,346
844,24952,0,10363,14,501
845,58297,0,6250,8,2106
846,23701,0,10171,6,0
847,36591,1,10752,7,2250
848,50923,0,3395,7,0
849,17837,0,11081,24,0
850,18424,1,6667,11,0
851,29738,0,17360,5,0
852,10086,1,6866,10,48
853,99264,0,1529,17,231
854,29834,0,14774,24,747
855,41596,0,11117,16,0
856,26443,0,9820,12,2040
857,43549,0,5789,26,151
858,26780,0,8258,10,768
859,41564,0,7370,10,108
860,64734,0,11571,3,603
861,10000,0,5629,7,812
862,44346,0,5991,3,1141
863,21642,0,10888,2,0
864,15324,0,13315,11,2038
865,12505,0,6450,8,0
866,31526,0,10584,22,797
867,35214,0,12158,14,829
868,20426,0,4327,18,30
869,13975,0,6888,16,507
870,31850,1,3141,3,755
871,30997,0,16242,10,0
872,42650,1,10981,15,0
873,44911,0,11645,0,216
874,59799,0,6417,0,2102
875,44551,0,6018,13,0
876,11167,0,7578,10,153
877,29567,0,7296,0,204
878,54177,1,19465,0,201
879,49456,0,9589,4,0
880,127752,0,10708,16,1261
881,50691,0,8086,8,851
882,13253,0,8320,21,346
883,11521,0,10721,6,0
884,30748,0,7860,8,60
885,32550,0,13608,31,986
886,21396,0,4704,19,905
887,47140,0,12865,20,529
888,10000,0,12675,6,1010
889,22508,0,16335,10,2231
890,10000,0,1020,12,1481
891,18936,0,12318,10,0
892,24141,0,5345,13,1952
893,55868,0,11581,13,402
894,14284,0,11553,10,1202
895,27392,0,4579,10,365
896,21712,0,10856,23,0
897,27636,1,8649,5,782
898,23556,0,5235,8,1680
899,25539,1,2479,1,0
900,20110,1,15643,5,259
901,37118,0,7635,8,2237
902,57608,0,3798,13,1628
903,30489,0,9268,19,1315
904,99209,0,8425,19,1143
905,31167,0,4318,23,836
906,48225,1,6395,4,0
907,18848,1,14431,5,184
908,27749,1,10846,3,1655
909,24680,1,7412,26,471
910,14277,0,6476,16,0
911,18750,0,6539,19,682
912,36843,0,1291,3,0
913,64238,1,13767,12,37
914,41644,0,6539,16,0
915,36379,0,7383,1,594
916,17771,0,10247,8,798
917,39788,0,12979,15,1784
918,20343,0,8806,0,1063
919,14715,1,5639,24,210
920,17335,0,7005,17,0
921,27666,0,7726,3,960
922,21505,0,677,12,0
923,35332,0,9904,16,1812
924,23702,1,12631,13,941
925,35126,0,8371,12,0
926,24670,1,6657,11,0
927,28881,0,8849,18,178
928,16505,1,14099,19,528
929,70343,0,7132,18,841
930,11177,0,11188,18,384
931,132412,0,9729,16,861
932,39509,0,427,17,225
933,11642,0,5937,25,1754
934,31552,0,10091,11,1212
935,33977,0,8532,0,1474
936,72807,1,13760,22,891
937,13236,1,10946,16,1536
938,13245,1,12600,16,0
939,36567,0,6662,5,586
940,33389,0,9337,0,1805
941,71707,0,3911,14,1407
942,16336,0,11479,10,1091
943,15551,0,9086,12,45
944,91318,1,5138,8,1149
945,28931,0,7086,12,982
946,19010,0,18009,7,0
947,45408,0,7233,24,1438
948,10000,0,6766,10,456
949,37308,0,4961,19,0
950,20350,0,3685,16,0
951,21999,1,6091,22,186
952,64681,1,18072,13,808
953,38465,0,9461,19,242
954,15114,1,4345,18,0
955,30665,1,10078,24,49
956,31895,0,12116,18,747
957,25406,0,9699,6,1363
958,16711,0,2499,11,649
959,34067,0,10594,2,2020
960,45274,0,8121,10,0
961,39036,0,8857,1,85
962,19386,0,15405,18,1047
963,27047,1,9920,0,469
964,10000,0,5199,3,1511
965,77576,0,1081,15,0
966,20724,0,5225,18,832
967,21761,0,4990,0,1151
968,13511,0,374,15,0
969,49839,0,10686,17,0
970,55097,0,10019,0,104
971,21124,0,7906,0,0
972,15022,0,4014,12,529
973,30100,0,8998,16,1147
974,24401,0,10514,8,173
975,46471,0,15068,14,1193
